chic_feature	atac_feature	rna_feature
837438_ENSG00000171206_TRIM8		ENSG00000171206_TRIM8
837946_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837946_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837950_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837950_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837953_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837953_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837958_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837958_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837965_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837965_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837967_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837967_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837968_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837968_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837968_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837969_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837969_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837969_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837972_ENSG00000166272_WBP1L	Peak_174379	ENSG00000166272_WBP1L
837972_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837972_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837976_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837976_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837977_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837977_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837979_ENSG00000166272_WBP1L	Peak_174380	ENSG00000166272_WBP1L
837979_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837982_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837988_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837993_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837993_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
837998_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
837998_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
837998_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838000_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
838000_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
838000_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838001_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
838001_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
838001_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838006_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
838006_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
838006_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838008_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
838008_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
838008_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838010_ENSG00000166272_WBP1L	Peak_174382	ENSG00000166272_WBP1L
838010_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
838010_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838018_ENSG00000166272_WBP1L	Peak_174384	ENSG00000166272_WBP1L
838018_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838018_ENSG00000166272_WBP1L	Peak_174387	ENSG00000166272_WBP1L
838026_ENSG00000166272_WBP1L	Peak_174385	ENSG00000166272_WBP1L
838026_ENSG00000166272_WBP1L	Peak_174387	ENSG00000166272_WBP1L
839459_ENSG00000156374_PCGF6		ENSG00000156374_PCGF6
839460_ENSG00000156374_PCGF6		ENSG00000156374_PCGF6
839478_ENSG00000156374_PCGF6	Peak_174441	ENSG00000156374_PCGF6
840080_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840092_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840092_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840094_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840094_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840101_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840101_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840101_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840102_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840102_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840102_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840103_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840103_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840103_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840104_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840104_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840104_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
