"geneid" "chr" "left" "right"
"1" "Peak_174379" "chr10" "102782980" "102785600"
"2" "Peak_174380" "chr10" "102784090" "102787320"
"3" "Peak_174382" "chr10" "102794730" "102797830"
"4" "Peak_174384" "chr10" "102801810" "102802950"
"5" "Peak_174385" "chr10" "102802290" "102803860"
"6" "Peak_174387" "chr10" "102811650" "102813620"
"7" "Peak_174441" "chr10" "103282940" "103284850"
"8" "Peak_174461" "chr10" "103464800" "103466140"
"9" "Peak_174464" "chr10" "103468880" "103470870"
"10" "Peak_174465" "chr10" "103470310" "103472180"
"11" "Peak_174498" "chr10" "103695880" "103697150"
"12" "Peak_174774" "chr10" "110419730" "110421590"
"13" "Peak_168156" "chr10" "11205676" "11206786"
"14" "Peak_168272" "chr10" "12129896" "12131186"
"15" "Peak_168273" "chr10" "12157386" "12158906"
"16" "Peak_175503" "chr10" "121900032" "121901162"
"17" "Peak_175505" "chr10" "121926782" "121927782"
"18" "Peak_168289" "chr10" "12243376" "12244386"
"19" "Peak_168291" "chr10" "12262696" "12263986"
"20" "Peak_168294" "chr10" "12264706" "12266526"
"21" "Peak_175695" "chr10" "124435612" "124436852"
"22" "Peak_175928" "chr10" "128080900" "128083750"
"23" "Peak_175932" "chr10" "128085470" "128088440"
"24" "Peak_175964" "chr10" "129459930" "129460290"
"25" "Peak_168333" "chr10" "13117116" "13119186"
"26" "Peak_168336" "chr10" "13160626" "13161636"
"27" "Peak_176003" "chr10" "131992530" "131993620"
"28" "Peak_168592" "chr10" "16966166" "16968096"
"29" "Peak_168884" "chr10" "21211542" "21212152"
"30" "Peak_168885" "chr10" "21211982" "21212962"
"31" "Peak_169289" "chr10" "27445626" "27447076"
"32" "Peak_169292" "chr10" "27448356" "27449826"
"33" "Peak_169294" "chr10" "27451996" "27453926"
"34" "Peak_169364" "chr10" "28331476" "28335336"
"35" "Peak_169366" "chr10" "28336426" "28337656"
"36" "Peak_169367" "chr10" "28342506" "28343756"
"37" "Peak_169369" "chr10" "28343846" "28344686"
"38" "Peak_169370" "chr10" "28344576" "28345966"
"39" "Peak_169488" "chr10" "29783756" "29784856"
"40" "Peak_169490" "chr10" "29802946" "29805396"
"41" "Peak_169569" "chr10" "30500296" "30503166"
"42" "Peak_169571" "chr10" "30504176" "30507186"
"43" "Peak_169574" "chr10" "30510386" "30511526"
"44" "Peak_169575" "chr10" "30522716" "30523416"
"45" "Peak_169780" "chr10" "32239236" "32240576"
"46" "Peak_169857" "chr10" "33412296" "33413406"
"47" "Peak_169892" "chr10" "33876666" "33877296"
"48" "Peak_170207" "chr10" "44938740" "44940170"
"49" "Peak_170209" "chr10" "44945620" "44947770"
"50" "Peak_170210" "chr10" "44946540" "44949530"
"51" "Peak_170266" "chr10" "45436940" "45438790"
"52" "Peak_170278" "chr10" "45555440" "45557490"
"53" "Peak_170279" "chr10" "45556110" "45558720"
"54" "Peak_170284" "chr10" "45581400" "45582450"
"55" "Peak_170285" "chr10" "45592000" "45594260"
"56" "Peak_170290" "chr10" "45671410" "45673840"
"57" "Peak_170509" "chr10" "48573520" "48575570"
