"geneid" "chr" "left" "right"
"1" "ENSG00000213341_CHUK" "chr10" "100188298" "100229619"
"2" "ENSG00000095485_CWF19L1" "chr10" "100232298" "100267680"
"3" "ENSG00000107593_PKD2L1" "chr10" "100288154" "100330486"
"4" "ENSG00000119906_SLF2" "chr10" "100912569" "100965136"
"5" "ENSG00000055950_MRPL43" "chr10" "100969458" "100987515"
"6" "ENSG00000107833_NPM3" "chr10" "101781325" "101783413"
"7" "ENSG00000120029_ARMH3" "chr10" "101845599" "102056193"
"8" "ENSG00000166189_HPS6" "chr10" "102065390" "102068038"
"9" "ENSG00000107872_FBXL15" "chr10" "102419189" "102423136"
"10" "ENSG00000138111_MFSD13A" "chr10" "102461395" "102477045"
"11" "ENSG00000138107_ACTR1A" "chr10" "102461881" "102502711"
"12" "ENSG00000171206_TRIM8" "chr10" "102642310" "102660680"
"13" "ENSG00000166272_WBP1L" "chr10" "102743901" "102834516"
"14" "ENSG00000076685_NT5C2" "chr10" "103088017" "103193306"
"15" "ENSG00000156374_PCGF6" "chr10" "103302796" "103351144"
"16" "ENSG00000173915_ATP5MD" "chr10" "103389041" "103396492"
"17" "ENSG00000138172_CALHM2" "chr10" "103446786" "103452402"
"18" "ENSG00000107957_SH3PXD2A" "chr10" "103594027" "103855543"
"19" "ENSG00000107960_STN1" "chr10" "103882542" "103918205"
"20" "ENSG00000065613_SLK" "chr10" "103967201" "104029233"
"21" "ENSG00000148834_GSTO1" "chr10" "104235356" "104267459"
"22" "ENSG00000047056_WDR37" "chr10" "1049538" "1132384"
"23" "ENSG00000048740_CELF2" "chr10" "10798397" "11336675"
"24" "ENSG00000119950_MXI1" "chr10" "110207605" "110287365"
"25" "ENSG00000138166_DUSP5" "chr10" "110497838" "110511544"
"26" "ENSG00000150593_PDCD4" "chr10" "110871795" "110900006"
"27" "ENSG00000119927_GPAM" "chr10" "112149864" "112215377"
"28" "ENSG00000197142_ACSL5" "chr10" "112374018" "112428380"
"29" "ENSG00000023041_ZDHHC6" "chr10" "112424428" "112446917"
"30" "ENSG00000165806_CASP7" "chr10" "113679162" "113730907"
"31" "ENSG00000148429_USP6NL" "chr10" "11453946" "11611754"
"32" "ENSG00000187164_SHTN1" "chr10" "116881482" "117126586"
"33" "ENSG00000165650_PDZD8" "chr10" "117277274" "117375467"
"34" "ENSG00000134463_ECHDC3" "chr10" "11742366" "11764070"
"35" "ENSG00000148426_PROSER2" "chr10" "11823339" "11872277"
"36" "ENSG00000165669_FAM204A" "chr10" "118297930" "118342328"
"37" "ENSG00000188613_NANOS1" "chr10" "119029716" "119033732"
"38" "ENSG00000183605_SFXN4" "chr10" "119140767" "119165667"
"39" "ENSG00000165672_PRDX3" "chr10" "119167703" "119178833"
"40" "ENSG00000198873_GRK5" "chr10" "119207589" "119459742"
"41" "ENSG00000148908_RGS10" "chr10" "119499828" "119542708"
"42" "ENSG00000151929_BAG3" "chr10" "119651370" "119677819"
"43" "ENSG00000197771_MCMBP" "chr10" "119829404" "119892556"
"44" "ENSG00000181192_DHTKD1" "chr10" "12068972" "12123225"
"45" "ENSG00000165609_NUDT5" "chr10" "12165325" "12196144"
"46" "ENSG00000107669_ATE1" "chr10" "121740421" "121928801"
"47" "ENSG00000151465_CDC123" "chr10" "12195965" "12250589"
"48" "ENSG00000107679_PLEKHA1" "chr10" "122374696" "122442602"
"49" "ENSG00000166033_HTRA1" "chr10" "122458551" "122514908"
"50" "ENSG00000119965_C10orf88" "chr10" "122930903" "122954403"
"51" "ENSG00000179988_PSTK" "chr10" "122954381" "122997513"
"52" "ENSG00000154473_BUB3" "chr10" "123154277" "123170467"
"53" "ENSG00000183049_CAMK1D" "chr10" "12349482" "12835545"
"54" "ENSG00000182022_CHST15" "chr10" "124007666" "124093607"
"55" "ENSG00000065154_OAT" "chr10" "124397303" "124418976"
"56" "ENSG00000107902_LHPP" "chr10" "124461834" "124617888"
"57" "ENSG00000019995_ZRANB1" "chr10" "124942123" "124988189"
"58" "ENSG00000188690_UROS" "chr10" "125784980" "125823285"
"59" "ENSG00000107949_BCCIP" "chr10" "125823546" "125853695"
"60" "ENSG00000089876_DHX32" "chr10" "125836337" "125896436"
"61" "ENSG00000132334_PTPRE" "chr10" "127907061" "128085855"
"62" "ENSG00000170430_MGMT" "chr10" "129467184" "129768007"
"63" "ENSG00000123240_OPTN" "chr10" "13099449" "13138308"
"64" "ENSG00000175470_PPP2R2D" "chr10" "131900644" "131959834"
"65" "ENSG00000171813_PWWP2B" "chr10" "132397168" "132417863"
"66" "ENSG00000107537_PHYH" "chr10" "13277796" "13302412"
"67" "ENSG00000086475_SEPHS1" "chr10" "13317424" "13348298"
"68" "ENSG00000151650_VENTX" "chr10" "133237404" "133241929"
"69" "ENSG00000151651_ADAM8" "chr10" "133262403" "133276868"
"70" "ENSG00000130640_TUBGCP2" "chr10" "133278630" "133312337"
"71" "ENSG00000198546_ZNF511" "chr10" "133308475" "133313162"
"72" "ENSG00000148803_FUOM" "chr10" "133355154" "133358035"
"73" "ENSG00000127884_ECHS1" "chr10" "133362480" "133373689"
"74" "ENSG00000148832_PAOX" "chr10" "133379234" "133391694"
"75" "ENSG00000065809_FAM107B" "chr10" "14518557" "14774897"
"76" "ENSG00000152464_RPP38" "chr10" "15097180" "15139818"
"77" "ENSG00000148481_MINDY3" "chr10" "15778170" "15860520"
"78" "ENSG00000165983_PTER" "chr10" "16436943" "16513745"
"79" "ENSG00000148484_RSU1" "chr10" "16590611" "16817528"
"80" "ENSG00000026025_VIM" "chr10" "17228259" "17237593"
"81" "ENSG00000136738_STAM" "chr10" "17644125" "17715914"
"82" "ENSG00000165997_ARL5B" "chr10" "18659405" "18681639"
"83" "ENSG00000078403_MLLT10" "chr10" "21524675" "21743630"
"84" "ENSG00000148450_MSRB2" "chr10" "23095506" "23122013"
"85" "ENSG00000107863_ARHGAP21" "chr10" "24583609" "24723668"
"86" "ENSG00000077420_APBB1IP" "chr10" "26438203" "26567803"
"87" "ENSG00000148459_PDSS1" "chr10" "26697659" "26746798"
