"geneid" "chr" "left" "right"
"1" "1000319_ENSG00000026508_CD44" "chr11" "35146970" "35147680"
"2" "1000358_ENSG00000026508_CD44" "chr11" "35162449" "35163957"
"3" "1020975_ENSG00000151348_EXT2" "chr11" "44066424" "44067717"
"4" "1021057_ENSG00000110455_ACCS" "chr11" "44091905" "44092020"
"5" "1021060_ENSG00000110455_ACCS" "chr11" "44092384" "44092731"
"6" "1022131_ENSG00000085117_CD82" "chr11" "44525526" "44525667"
"7" "1022135_ENSG00000085117_CD82" "chr11" "44526194" "44526445"
"8" "1029652_ENSG00000110514_MADD" "chr11" "47234031" "47234335"
"9" "1029808_ENSG00000066336_SPI1" "chr11" "47276553" "47276793"
"10" "1029826_ENSG00000066336_SPI1" "chr11" "47281643" "47282072"
"11" "1047820_ENSG00000156603_MED19" "chr11" "57921608" "57921783"
"12" "1047824_ENSG00000156603_MED19" "chr11" "57923492" "57924169"
"13" "1047835_ENSG00000156603_MED19" "chr11" "57928640" "57929247"
"14" "1047839_ENSG00000156603_MED19" "chr11" "57930679" "57931266"
"15" "1047841_ENSG00000156603_MED19" "chr11" "57931571" "57932046"
"16" "1047845_ENSG00000156603_MED19" "chr11" "57932675" "57933371"
"17" "1047846_ENSG00000156603_MED19" "chr11" "57933372" "57933483"
"18" "1047854_ENSG00000156603_MED19" "chr11" "57935603" "57936730"
"19" "1047861_ENSG00000156603_MED19" "chr11" "57939152" "57939405"
"20" "1047866_ENSG00000156603_MED19" "chr11" "57940810" "57940949"
"21" "1047896_ENSG00000156603_MED19" "chr11" "57947530" "57948102"
"22" "1047901_ENSG00000156603_MED19" "chr11" "57949890" "57950368"
"23" "1047946_ENSG00000156603_MED19" "chr11" "57963453" "57963710"
"24" "1047968_ENSG00000156603_MED19" "chr11" "57970675" "57971533"
"25" "1047980_ENSG00000156603_MED19" "chr11" "57975720" "57976176"
"26" "1047981_ENSG00000156603_MED19" "chr11" "57976177" "57976903"
"27" "1048001_ENSG00000156603_MED19" "chr11" "57983779" "57984733"
"28" "1048025_ENSG00000156603_MED19" "chr11" "57992230" "57993726"
"29" "1049408_ENSG00000186660_ZFP91" "chr11" "58555872" "58556001"
"30" "1049577_ENSG00000186660_ZFP91" "chr11" "58627869" "58628454"
"31" "1049641_ENSG00000186660_ZFP91" "chr11" "58655147" "58656282"
"32" "1049642_ENSG00000186660_ZFP91" "chr11" "58656283" "58657163"
"33" "1053600_ENSG00000110079_MS4A4A" "chr11" "60185725" "60186027"
"34" "1053604_ENSG00000110079_MS4A4A" "chr11" "60187334" "60188231"
"35" "1053608_ENSG00000110079_MS4A4A" "chr11" "60189297" "60189888"
"36" "1053609_ENSG00000110079_MS4A4A" "chr11" "60189889" "60191312"
"37" "1053612_ENSG00000110079_MS4A4A" "chr11" "60191573" "60192455"
"38" "1053620_ENSG00000110079_MS4A4A" "chr11" "60193583" "60194130"
"39" "1053627_ENSG00000110077_MS4A6A" "chr11" "60197082" "60197790"
"40" "1053627_ENSG00000110079_MS4A4A" "chr11" "60197082" "60197790"
"41" "1053632_ENSG00000110077_MS4A6A" "chr11" "60198096" "60198722"
"42" "1053632_ENSG00000110079_MS4A4A" "chr11" "60198096" "60198722"
"43" "1053633_ENSG00000110079_MS4A4A" "chr11" "60198723" "60198961"
"44" "1053637_ENSG00000110077_MS4A6A" "chr11" "60199746" "60200617"
"45" "1053637_ENSG00000110079_MS4A4A" "chr11" "60199746" "60200617"
"46" "1053651_ENSG00000110077_MS4A6A" "chr11" "60207156" "60207908"
"47" "1053651_ENSG00000110079_MS4A4A" "chr11" "60207156" "60207908"
"48" "1053654_ENSG00000110077_MS4A6A" "chr11" "60208474" "60208844"
"49" "1053654_ENSG00000110079_MS4A4A" "chr11" "60208474" "60208844"
"50" "1053656_ENSG00000110077_MS4A6A" "chr11" "60210512" "60211688"
"51" "1053656_ENSG00000110079_MS4A4A" "chr11" "60210512" "60211688"
"52" "1053659_ENSG00000110077_MS4A6A" "chr11" "60212547" "60213014"
"53" "1053659_ENSG00000110079_MS4A4A" "chr11" "60212547" "60213014"
"54" "1053665_ENSG00000110077_MS4A6A" "chr11" "60213678" "60213756"
"55" "1053665_ENSG00000110079_MS4A4A" "chr11" "60213678" "60213756"
"56" "1053668_ENSG00000110077_MS4A6A" "chr11" "60214307" "60214436"
"57" "1053668_ENSG00000110079_MS4A4A" "chr11" "60214307" "60214436"
"58" "1053669_ENSG00000110077_MS4A6A" "chr11" "60214437" "60215182"
"59" "1053669_ENSG00000110079_MS4A4A" "chr11" "60214437" "60215182"
"60" "1053675_ENSG00000110077_MS4A6A" "chr11" "60217021" "60218320"
"61" "1053675_ENSG00000110079_MS4A4A" "chr11" "60217021" "60218320"
"62" "1053676_ENSG00000110077_MS4A6A" "chr11" "60218321" "60218884"
"63" "1053676_ENSG00000110079_MS4A4A" "chr11" "60218321" "60218884"
"64" "1053677_ENSG00000110077_MS4A6A" "chr11" "60218885" "60219036"
"65" "1053677_ENSG00000110079_MS4A4A" "chr11" "60218885" "60219036"
"66" "1053681_ENSG00000110077_MS4A6A" "chr11" "60219301" "60219650"
"67" "1053681_ENSG00000110079_MS4A4A" "chr11" "60219301" "60219650"
"68" "1053693_ENSG00000110077_MS4A6A" "chr11" "60221657" "60222109"
